cellID,layer,x,y,f_cult,farm_hectares,dC_10_1,dC_10_2,dC_10_3,dC_10_4,dC_10_5,dC_20_1,dC_20_2,dC_20_3,dC_20_4,dC_20_5,dC_30_1,dC_30_2,dC_30_3,dC_30_4,dC_30_5
Unique cell ID,County code,Longitude,Latitude,Fraction cultivated,Hectares cultivated,"Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density","Excess C evaluated at 0-30 cm, metric tons CO2 equivalent per hectare: A_B, A = depth of density increase in cm, B = percentage increase in density"
2,1554,-122.3390778,48.84673161,0.132,33000,0.60572718,1.210702069,1.814925692,2.41839907,3.021123229,1.210702069,2.41839907,3.623099191,4.82481062,6.023541546,1.814925692,3.623099191,5.424548134,7.219300156,9.007382894
5,2445,-122.1561031,48.40942857,0.132,33000,0.744012444,1.48699151,2.228938411,2.96985436,3.709740571,1.48699151,2.96985436,4.448598257,5.923232908,7.39376802,2.228938411,4.448598257,6.6590123,8.860213301,11.05223402
9,2644,-119.5627134,48.87969746,0.034,8500,0.419310729,0.837744243,1.25530172,1.671984338,2.087793275,0.837744243,1.671984338,2.502729709,3.32998978,4.153773974,1.25530172,2.502729709,3.742315772,4.974091716,6.198089346
10,2644,-118.908565,48.98986667,0.004,1000,0.488707752,0.976861313,1.464461002,1.951507133,2.438000023,0.976861313,1.951507133,2.923939989,3.894162414,4.862176938,1.464461002,2.923939989,4.378445505,5.827986093,7.272570295
13,1950,-122.6139352,47.84881919,0.002,500,0.592873451,1.184749838,1.775630235,2.36551572,2.954407367,1.184749838,2.36551572,3.542306252,4.71513004,5.88399569,1.775630235,3.542306252,5.300057094,7.048911805,8.788899429
14,1841,-121.9755897,47.97264175,0.034,8500,0.789906485,1.579303654,2.368192218,3.15657289,3.94444638,1.579303654,3.15657289,4.731813401,6.305030879,7.876231017,2.368192218,4.731813401,7.09088276,9.445419509,11.79544286
16,1840,-120.6917038,48.21162073,0.002,500,0.64126933,1.280731657,1.91838962,2.554245859,3.188303014,1.280731657,2.554245859,3.820563725,5.079706378,6.331694938,1.91838962,3.820563725,5.7065936,7.576550525,9.430505783
17,2644,-120.0462543,48.32673824,0.024,6000,0.264486938,0.52845747,0.791912253,1.054851945,1.317277203,0.52845747,1.054851945,1.579188684,2.101472947,2.621709991,0.791912253,1.579188684,2.361847042,3.139905077,3.913380538
18,2644,-119.3985298,48.43891558,0.04,10000,0.273976382,0.547520195,0.820631894,1.093311935,1.365560772,0.547520195,1.093311935,1.637378862,2.179724622,2.720352857,0.820631894,1.637378862,2.450253202,3.259267212,4.06443319
19,2643,-118.7485787,48.54813391,0.002,500,0.29146881,0.582579289,0.873331839,1.163726863,1.453764762,0.582579289,1.163726863,1.743445938,2.321739728,2.898611449,0.873331839,1.743445938,2.610353146,3.474064317,4.3345903
20,2447,-118.0964506,48.65437469,0.04,10000,0.333575771,0.666703838,0.999384634,1.331618589,1.663406138,0.666703838,1.331618589,1.994747712,2.656094663,3.315662903,0.999384634,1.994747712,2.986100906,3.973455889,4.956824331
21,1480,-117.4421963,48.75761968,0.002,500,0.724289869,1.447965761,2.17102788,2.89347643,3.615311615,1.447965761,2.89347643,4.336533639,5.777139019,7.2152942,2.17102788,4.336533639,6.496522782,8.651000813,10.79997324
22,964,-116.7858677,48.85785093,0.008,2000,1.564131102,3.127102987,4.688916012,6.24957053,7.809066898,3.127102987,6.24957053,9.367405469,12.48061064,15.58918889,4.688916012,9.367405469,14.03547796,18.69314306,23.34041036
23,964,-116.1275178,48.95505086,0.072,18000,0.879090706,1.757220245,2.634389404,3.510598971,4.385849735,1.757220245,3.510598971,5.260142484,7.005857087,8.747749086,2.634389404,5.260142484,7.877280518,10.48582478,13.08579656
24,814,-123.6934951,47.15940042,0.004,1000,0.669323975,1.337587784,2.004792711,2.670940043,3.336031064,1.337587784,2.670940043,4.000067061,5.324979122,6.645686508,2.004792711,4.000067061,5.985857757,7.962199504,9.929127011
25,2469,-123.0639307,47.2878774,0.004,1000,0.374235263,0.748391899,1.122469081,1.496465979,1.870381766,0.748391899,1.496465979,2.244215614,2.99163418,3.738715052,1.122469081,2.244215614,3.365217242,4.485451607,5.604896354
26,2420,-122.431915,47.41352785,0.006,1500,0.888701909,1.775585703,2.660653552,3.543907627,4.425350097,1.775585703,3.543907627,5.304983134,7.058829591,8.805464361,2.660653552,5.304983134,7.933047352,10.54490481,13.14061411
27,2420,-121.7974897,47.53633239,0.002,500,0.364202586,0.729275478,1.095216574,1.46202377,1.829694963,0.729275478,1.46202377,2.198228053,2.937871505,3.680937306,1.095216574,2.198228053,3.308977664,4.427408633,5.553464188
29,1840,-120.5215842,47.77332719,0.02,5000,0.193069292,0.386105065,0.579107329,0.772076097,0.965011379,0.386105065,0.772076097,1.157913188,1.543616433,1.929185925,0.579107329,1.157913188,1.736417892,2.314621756,2.892525094
30,2450,-119.8801937,47.88747971,0.276,69000,0.232414563,0.464439112,0.696074013,0.927319635,1.158176345,0.464439112,0.927319635,1.38864451,1.848416679,2.306639083,0.696074013,1.38864451,2.077721418,2.763314661,3.445434166
31,2450,-119.2365728,47.99871086,0.198,49500,0.32747016,0.654223912,0.980262151,1.305585773,1.630195674,0.654223912,1.305585773,1.95409275,2.59975201,3.242570719,0.980262151,1.95409275,2.921515986,3.882556043,4.83723711
32,2643,-118.5907695,48.1070024,0.028,7000,0.404386999,0.807698673,1.209936528,1.611102068,2.011196799,0.807698673,1.611102068,2.410222226,3.205071185,3.995660984,1.209936528,2.410222226,3.600897727,4.782003665,5.953580672
33,2447,-117.9428324,48.21233634,0.06,15000,0.704751415,1.408412279,2.110983845,2.812467368,3.5128641,1.408412279,2.812467368,4.212175296,5.60754609,6.998589781,2.110983845,4.212175296,6.303608197,8.385316395,10.45733374
34,1480,-117.2928117,48.314695,0.002,500,0.560779791,1.120066623,1.677862497,2.234169412,2.788989367,1.120066623,2.234169412,3.342324362,4.444547469,5.54085473,1.677862497,3.342324362,4.993439581,6.63126214,8.255846024
35,1773,-116.6407581,48.41406101,0.008,2000,0.351396519,0.702055898,1.051979163,1.401167342,1.749621461,0.702055898,1.401167342,2.097342548,2.790589736,3.480917122,1.051979163,2.097342548,3.13611789,4.168332923,5.194015382
